Year	Population	Area (Sq. Km.)	Density (Persons Per Sq. Km.)
1990	249622814	9147593	27.3
1991	252980941	9147593	27.7
1992	256514224	9147593	28.0
1993	259918588	9147593	28.4
1994	263125821	9147593	28.8
1995	266278393	9147593	29.1
1996	269394284	9147593	29.4
1997	272646925	9147593	29.8
1998	275854104	9147593	30.2
1999	279040168	9147593	30.5
2000	282162411	9147593	30.8
2001	284968955	9147593	31.2
2002	287625193	9147593	31.4
2003	290107933	9147593	31.7
2004	292805298	9147593	32.0
2005	295516599	9147593	32.3
2006	298379912	9147593	32.6
2007	301231207	9147593	32.9
2008	304093966	9147593	33.2
2009	306771529	9147593	33.5
2010	309326225	9147593	33.8
2011	311587816	9147593	34.1
2012	313914040	9147593	34.3
2013	316438601	9147593	34.6
2014	318892103	9147593	34.9